DILIrank_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
procyclidine,0.7639408032198438,0.958488927095491,1.0505370918404784,0.779554186306953,-0.448530593277336,-0.4118592417890426,2.0324135051597736,-0.6285669159015093,-0.703398263189802,-1.0590181266059373,-0.9913802945024348,-0.8347130259664337,2.0087427016270554,-0.8843439806695998,-0.7575396995505448,-0.338166218788851,3.5537512913576625,1.320186006914671,-0.8211519413250118,-0.8108393790408849,-0.5906535057898263,0.814847333708395
propantheline,-2.5035704388264026,0.8556136205461974,1.1201161899554544,1.0203413665061296,-1.019160606751005,-0.45547425719114437,1.5720175164069614,-0.5741937367865197,-0.39683783378777465,1.269852321580496,1.7973383067627897,-0.8200990051704761,2.0087427016270554,-0.8843439806695998,-0.8217196020529445,-0.39232107720094667,-0.05853311040438108,-0.5304945651252742,-0.9631244990767035,-0.5843811848408274,0.14355943322782905,0.7569092271226043
protirelin,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
protriptyline,0.7943140342545836,0.9767272085889945,1.2879343480280039,0.9680720799216486,1.6921936994438993,1.4279888711657946,1.7965490986141022,-0.4315626437457497,2.060540126645082,0.896218196066143,-0.7686146503951972,-0.8200990051704761,2.009059864122514,-0.8845167036804626,1.8518520270525438,-0.38192394278204983,-0.1680158473017734,1.7328410557422953,-0.34791008215270625,-0.852647045662434,-0.25595239928934416,0.9962400555930225
pseudoephedrine,0.7337382083145128,0.3748639193033762,1.4610537707188374,-1.573609095726389,-1.1841450669892735,-1.0473236022248122,-0.9635248539590092,-0.640387172230855,-0.6923040060320917,-1.3890281407387903,-0.4613516930059041,-0.4756520846379069,1.5195195523817517,-0.3164307209524593,-0.9566392313466632,-0.32365511031931155,-0.04083501606226579,-1.1010491789875316,-1.0385290110776018,-0.4849718442073663,-0.27331241518667193,0.4906058061347508
pyrantel,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
pyridostigmine,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
pyridoxine,0.7479010070554307,0.55311462358754,-1.4917506216652914,-1.2943168744099782,-1.1728640782550328,-0.9480673723207643,-0.8239894542908491,-0.4788436690631321,-0.6875726316560092,-1.3651170169271734,-0.9915339259811294,-0.8200990051704761,-0.8712513383871929,-0.8843439806695998,-0.8178191659892627,-0.40294261020442396,-0.09735265310369245,-1.0126579791794843,-0.9631244990767035,-0.8749444678605933,0.21948056941880995,-0.1049914105115838
quazepam,0.6893728146682636,0.9663256886747307,0.9445117994748004,0.6082851572651364,1.8114274831488588,1.8538766686216122,1.842765772869673,-0.7071059524009389,-0.7405966548362429,0.8684739913381597,1.4771703051631464,1.9228972019492525,-0.4124757887059409,1.8628155071044632,2.122577748381727,2.8841226562590343,-0.011704211141484717,1.4502496692473223,-0.4820280032376377,-0.37673644062046685,-0.7809192800245405,0.10867063656006615
raloxifene,0.7712781567844159,0.8056008330132303,-1.4915849571459698,1.0281817594938019,-0.625736124644365,2.0323454632633005,1.746613841372451,-0.6130692464919227,-0.9006476294202711,0.8803382894126264,-0.9913802945024348,-0.8200990051704761,2.0089012828747848,2.226570167981683,2.0658441329099926,2.412137633358035,-0.23506191272920302,1.3498125232407567,-0.8362721169085253,-0.8784284400790559,-0.6853234591499214,0.6050967199927481
ramelteon,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
ranolazine,-2.1790205206911497,-1.1884987724678842,-0.9773622891724323,1.187777314531751,1.535983341554485,1.7369820133711258,-0.7303165781176808,-0.6309309671673784,-0.9006476294202711,1.2924857517533244,-0.9913802945024348,-0.819914017565464,-0.7217092217783369,-0.8843439806695998,-0.7577169920988939,-0.35787589446783885,-0.07803976913182212,1.837510561224016,-0.8445194854086235,-0.8075876716369864,-0.7661053997921541,0.43959419611688183
regadenoson,0.7943140342545836,0.647440735686754,-1.2921248758830384,-1.3739404209736712,-1.1109753206157962,-1.0348163551609741,-1.0446253781316202,-0.8489490283530857,-0.7892156053215034,0.8536892506607476,-0.847427598965551,-0.8578364765929487,-0.9248518001197417,-0.9444515884498812,-0.9912112782747513,-0.2914539134320088,-0.02074703306811298,-1.0557954892147192,-0.5436869010717057,-0.7748383327834399,-0.7043037431976665,0.3390377635896445
reserpine,0.6605353087982017,0.8905228312173565,1.077209079451219,1.0590206385786456,1.6921936994438993,-0.6721061903096719,1.5436854555606343,-0.865760059577044,-0.9006476294202711,1.2211174356438412,1.77552263678815,-0.8200990051704761,-0.8956728505375259,-0.8843439806695998,-0.7578942846472431,-0.39875383662558783,-0.15865006744919408,-0.5991890150681763,-0.9629281331600346,-0.8798220289664407,-0.7809192800245405,1.0948407714422583
riboflavin,0.6502971410336826,-1.638898833412922,-1.187590564191253,0.9694659275639012,-1.0138334731820582,-0.9873529560469222,-1.0191265233699258,-0.592580802187724,-0.7895419070026124,-1.0212349004303287,1.7088465750346735,-0.8200990051704761,-0.916605575237811,1.935704617688598,-0.7577169920988939,-0.31868094169444366,-0.036571971439712414,-0.46375351186321256,-0.7484965521574796,-0.5349087793386609,-0.6978226705959975,-0.14622443713944605
rimantadine,0.7943140342545836,0.9676080678422428,1.0439105110676234,-1.5089694113169143,-1.0205707303427851,-0.9430965433594956,-0.731379030399418,-0.7265437072536404,-0.5952292559021256,-1.3068906925309454,-0.9976791851289153,-0.7927208396286821,-0.6065792359267679,-0.8316634623564223,-0.6410584952851399,-0.3515927340995847,-0.007505758104121606,-1.0077744874773822,-0.7318054492406139,-0.6549896884683324,-0.7304595004829739,0.18412870505295265
