DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB09292,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00797,0.770021262,0.903199879,-0.897049195,0.731811238,-1.193163011,-0.942885832,2.117548168,-0.755730071,1.854705334,-1.5643714,-0.534318436,-0.939549271,1.786420555,-1.036197013,-1.031796616,-0.290904657,-0.12581705,-0.966312411,-0.861240431,-0.883385358,-0.732117311,0.634135383
DB00750,0.725551915,0.896194343,1.302962688,0.85814404,-0.926899202,-0.939164083,-0.947920299,-0.598024924,-0.20932885,-1.045710323,-1.00180922,-0.834703864,-0.872317706,-0.89282372,-0.777692779,-0.416073204,0.053152905,-1.002564955,-0.733838864,-0.244473157,-0.67538193,0.308224048
DB01107,0.800172827,0.992413245,0.938898945,-1.492278626,1.166458037,-0.801621174,-0.86507471,-0.904513462,-0.706645162,-1.070957318,-0.887866051,-0.665338208,-0.839796864,-0.818858525,-0.887229493,-0.306765824,0.059544689,-1.120880074,-0.597105335,-0.62750541,-0.46474896,0.490642613
DB08901,0.800172827,0.918926595,-1.05385313,0.899786424,1.631000051,2.020435682,1.586500677,-0.810310221,-0.539101011,1.312322348,-0.931963137,-0.409695472,-0.618527605,1.664233698,-0.298291839,1.849455049,-0.052608825,1.645518556,-0.204351459,-0.604775529,-0.77254414,0.88211318
DB01553,0.800172827,0.957099621,0.981879872,0.827044032,1.49913006,1.577223886,-0.253906813,-0.702199538,-0.659657345,1.296771664,1.588509108,2.191558452,-0.348317666,2.11871652,1.588904816,2.341001584,0.047281382,1.532146966,-0.50297424,-0.527809001,-0.77254414,0.409840859
DB01131,0.723362136,0.609539218,0.812334555,-1.596121026,-1.157671686,-0.833336951,-0.662866069,-0.556827407,-0.893738988,-1.197924086,1.742077981,-0.932422034,1.636729032,-0.959252177,-0.919948251,-0.323449976,0.055010982,-1.115936545,-0.317146477,-0.133524331,-0.758532569,0.751814205
DB00678,0.800172827,-1.548166094,-1.55875161,0.862536697,-1.047254229,1.40294893,-0.355465331,-0.345066919,-0.893738988,-1.223719928,1.242979145,-0.150676677,-0.692177747,1.791306604,2.115250063,1.985247585,3.6306196,1.74290607,-0.214697764,-0.231420354,-0.77254414,0.691827507
DB01080,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00662,0.782991488,0.729777103,1.136305417,0.838289232,1.308423339,-0.357600302,-0.459022317,-0.511169012,-0.426090167,1.233288279,-1.001963406,-0.834703864,-0.87215829,-0.892648447,-0.777692779,-0.345371305,0.052929936,-0.702822335,-0.573978298,-0.466145759,-0.608310145,0.469171964
